date,day,personnel,personnel*,POW
25.02.22,2,2800,about,0
26.02.22,3,4300,about,0
27.02.22,4,4500,about,0
28.02.22,5,5300,about,0
01.03.22,6,5710,about,200
02.03.22,7,5840,about,200
03.03.22,8,9000,about,200
04.03.22,9,9166,about,200
05.03.22,10,10000,about,216
06.03.22,11,11000,about,232
07.03.22,12,11000,more,259
08.03.22,13,12000,about,284
09.03.22,14,12000,about,360
10.03.22,15,12000,more,371
11.03.22,16,12000,more,389
12.03.22,17,12000,more,389
13.03.22,18,12000,more,389
14.03.22,19,12000,more,389
15.03.22,20,13500,about,389
16.03.22,21,13800,about,389
17.03.22,22,14000,about,405
18.03.22,23,14200,about,405
19.03.22,24,14400,about,405
20.03.22,25,14700,about,405
21.03.22,26,15000,about,405
22.03.22,27,15300,about,411
23.03.22,28,15600,about,412
24.03.22,29,15800,about,412
25.03.22,30,16100,about,412
26.03.22,31,16400,about,412
27.03.22,32,16600,about,421
28.03.22,33,17000,about,421
29.03.22,34,17200,about,430
30.03.22,35,17300,about,430
31.03.22,36,17500,about,459
01.04.22,37,17700,about,459
02.04.22,38,17700,about,460
03.04.22,39,18000,about,460
04.04.22,40,18300,about,460
05.04.22,41,18500,about,467
06.04.22,42,18600,about,467
07.04.22,43,18900,about,467
08.04.22,44,19000,about,467
09.04.22,45,19100,about,467
10.04.22,46,19300,about,467
11.04.22,47,19500,about,467
12.04.22,48,19600,about,477
13.04.22,49,19800,about,477
14.04.22,50,19900,about,477
15.04.22,51,20000,about,477
16.04.22,52,20100,about,477
