,Time Created,Number_of_Likes,Number_of_Retweets,Tweet
0,2022-04-22 10:44:43+00:00,0,87,RT @MFA_Ukraine: Strongly welcome decision of  Organisation of American States to suspend Russia’s status as permanent observer to organiza…
1,2022-04-22 10:44:42+00:00,0,1,"RT @Z_u_l_u_i_n_k: Bucha - Hero City
@foundation ! 🌐 #3DNFT #StandWithUkraine 
Every grenade bought will help the Ukrainian army. Saving Uk…"
2,2022-04-22 10:44:42+00:00,0,7,RT @USEmbassyKyiv: .@USAID partners w/🇺🇦 ag sector to support the harvest amid Russia’s war against 🇺🇦. Kharkiv-based ag cooperative Nash D…
3,2022-04-22 10:44:40+00:00,0,164,RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…
4,2022-04-22 10:44:24+00:00,0,5,"RT @Z_u_l_u_i_n_k: The Shredder
 on @AsyncArt 
Presale: May, 03 02:45
https://t.co/QTsa7f1ZvH
Maximum Editions:123
Legendary:2
🧡🙏🇺🇦
#AsyncA…"
5,2022-04-22 10:44:23+00:00,0,5,"RT @Z_u_l_u_i_n_k: The Shredder
 on @AsyncArt 
Presale: May, 03 02:45
https://t.co/QTsa7f1ZvH
Maximum Editions:123
Legendary:2
🧡🙏🇺🇦
#AsyncA…"
6,2022-04-22 10:44:23+00:00,0,164,RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…
7,2022-04-22 10:44:17+00:00,0,49,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
8,2022-04-22 10:44:17+00:00,0,387,RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…
9,2022-04-22 10:44:13+00:00,0,0,"@56blackcat ""I have got many tables in many sizes, some small, small large, some huge, IKEA had a closingdown sale, i get many more! what is key is that these ARE MY TABLES AND MY TABLES ALONE!! DO NOT TRY TO STEAL MY TABLE! #StandWithUkraine"
10,2022-04-22 10:44:09+00:00,0,407,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
11,2022-04-22 10:44:05+00:00,0,3,"RT @en_germany: 🇺🇦 To support #Ukraine, #Germany is preparing a ring swap for the delivery of heavy weapons. Nato partner #Slovenia is to h…"
12,2022-04-22 10:44:00+00:00,0,49,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
13,2022-04-22 10:43:50+00:00,0,387,RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…
14,2022-04-22 10:43:50+00:00,0,387,RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…
15,2022-04-22 10:43:34+00:00,0,5,"RT @TU_Muenchen: This summer semester, our university offers an #integration program for people who cannot continue or take up their #studi…"
16,2022-04-22 10:43:26+00:00,0,49,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
17,2022-04-22 10:43:20+00:00,0,0,"Happy #EarthDay🪴 
#OrthodoxEaster☦️ #Pesach
#StandWithUkraine🇺🇦🌻
#StopWar🌍 #MakePeace☮️
💯#CommonSense #EqualityForALL #LightTheDarkness🛰
📢#HumanRights is for EVERYONE 
#COVID19 continues PLEASE #Vax #Boost You Decide #WearAMask😷 /EMPOWER #AutismAcceptanceMonth #GoodFriday!"
18,2022-04-22 10:43:16+00:00,1,0,"The British embassy in #Kyiv will re-open next week.

#UK PM Boris Johnson confirmed the news during a press conference in India where he is currently on a trade mission.

#StandWithUkraine #StopRussia #SaveUkraine"
19,2022-04-22 10:43:05+00:00,0,49,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
20,2022-04-22 10:43:01+00:00,0,803,"RT @olex_scherba: A Mariupol grave. „A no-name babushka“…
God, please punish #Putin and pro-Putin #Russia for this. Some day, some time, bu…"
21,2022-04-22 10:43:01+00:00,0,2,RT @WarInUkraine22: ❗️1 killed and 2 injured as a result of the crash of the AN-26 in #Zaporizhzhia region this morning - regional military…
22,2022-04-22 10:43:00+00:00,0,164,RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…
