_c0,Date,Number_of_Retweets,Tweet
1,"22 April",1348,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
2,"22 April",1348,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
3,"22 April",430,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
6,"22 April",309,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
8,"22 April",1348,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
11,"22 April",75,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
16,"22 April",199,"RT @Denys_Shmyhal: Met with 🇺🇸 Secretary of Transportation @SecretaryPete. Told about significant losses of #Ukraine due to russia's milita…"
17,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
19,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
21,"22 April",309,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
22,"22 April",309,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
24,"22 April",648,"RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…"
26,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
31,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
33,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
36,"22 April",430,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
37,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
39,"22 April",430,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
41,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
43,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
44,"22 April",9838,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
45,"22 April",503,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
48,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
52,"22 April",335,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
54,"22 April",335,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
56,"22 April",3449,"RT @ukraine_world: No day without singing ""Chervonoyi kalyny"" (""Red Viburnum"").
Yelyzaveta from Ukraine sings with 300 Lithuanians in Vilni…"
57,"22 April",164,"RT @FCDOGovUK: We’re planning for Her Majesty’s Ambassador to Ukraine @MelSimmonsFCDO to return to Kyiv, and will re-open the British Embas…"
59,"22 April",245,"RT @Amy_Siskind: Ukrainian officials say 20,000 plus civilians are dead in Mariupol, and Putin is trying to hide the evidence of war crimes…"
62,"22 April",1348,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
63,"22 April",1348,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
66,"22 April",648,"RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…"
67,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
70,"22 April",9838,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
72,"22 April",276,"RT @DiariesMariupol: The world should know what horrors the people of #Mariupol went through. 

Read the true story of a mother who survive…"
73,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
76,"22 April",171,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
